Description,Pathway.geneSymbol,Overlapping.geneSymbol,Overlapping.geneID,Count,GeneRatio,pvalue,p.adjust
B cell activation involved in immune response (GO:0002312),LIG4/MSH2/RNF8/BATF/RNF168/EXOSC6/FCGR2B/GPR183/MSH6/IFNB1/CD40LG/GAPT/EXOSC3,EXOSC3,NA,1,1/374,0.0429301060251057,1
positive regulation of phospholipid biosynthetic process (GO:0071073),FABP3/ACSL3/HTR2C/NR1H4/HTR2A/HTR2B/ZP3,ACSL3,NA,1,1/374,0.0127977214204242,1
sphingolipid catabolic process (GO:0030149),SMPD4/SMPD3/ACER1/ASAH2/SGPL1/ASAH2B/SMPD2/SMPD1/SPHK1/PPT1/GLA,PPT1/GLA,NA,2,2/374,0.00241029950835454,1
virion attachment to host cell (GO:0019062),ACE2/LRRC15/HSP90AB1/CD81/CD209/CLEC4M/GAS6/ICAM1/NECTIN2,ACE2/CD209,NA,2,2/374,0.00127516627082133,1
negative regulation of phosphatidylinositol 3-kinase signaling (GO:0014067),PIK3IP1/PTEN/STAMBP/TWIST1/TSC2/NOP53/NLRC3/SLC9A3R1/DAB2IP,SLC9A3R1,NA,1,1/374,0.0212031977277593,1
regulation of natural killer cell mediated cytotoxicity directed against tumor cell target (GO:0002858),NCR3/CEACAM1/CADM3/GYPC/CRTAM/PVR/IL12B/IL12A/CD226/NECTIN2,PVR,NA,1,1/374,0.026057258962688,1
protein import into nucleus (GO:0006606),TGFB1/EGF/NUP214/RPL23/TSC2/NUP93/NUP98/RAN/ZFYVE9/TNF/CBLB/HIKESHI/RGPD4/ABRA/NUP85/TGS1/AKT1/KPNA7/CSE1L/DAG1/KPNA5/KPNA6/NUP88/HES1/RAE1/KPNA3/KPNA4/KPNA1/KPNA2/FYB1/PDIA3/GCKR/NUP153/GDF5/GPN1/POM121B/NUP155/GPN3/GPN2/SPRN/POM121/PHB2/IPO13/IPO4/PTTG1IP/IPO7/IPO8/IPO11/IPO5/IPO9/TPR/POM121C/NUP62/FAM53B/PPP1R10/RANBP17/MT3/NUTF2/NUP133/NPAP1/MMP12/NUP50/NUP54/BCL6/IFNG/BCL3/NUP58/POM121L12/RBM22/NUP62CL/OPRD1/TRPS1/NCKIPSD/TNPO1/SEC61B/TNPO2/TNPO3/CEP57/RANBP3/RANBP2/OR1D2/SYK/STAT3/RANBP1/AKR1C3/RANBP6/KPNB1/MCM3AP/NUP35/POM121L2/NXT1/NUP107/NXT2/RERE/CTNNB1/PRICKLE1/NUP188/RPAIN/RANBP3L/SIX3/HEATR3/JAK3/JAK2,NUP214/NUP98/AKT1/NUP88/RAE1/NUP62/NUTF2/NUP54/NUP58/HEATR3,NA,10,10/374,6.9491922079013e-05,0.354617278369203
regulation of establishment of planar polarity (GO:0090175),RHOA/SMURF2/SMURF1/WNT5A/PSMB9/PSMC6/PSMC4/PSMC5/PSMC2/PSMC3/PSMC1/ROR2/PFN1/PSMD11/PSMD10/PSMD13/PSMD12/CELSR1/PSMD14/CLTC/CELSR2/CELSR3/PSMB11/PSMB10/PSMD9/PARD6A/WNT11/PSMD7/PSMD8/PSMD5/PSMD6/DVL1/PSMD3/PSMD4/DVL2/PSMD1/NPHP3/DVL3/AP2S1/PSMD2/WNT1/RPS27A/DACT1/FZD2/FZD1/FZD4/FZD3/FZD6/FZD5/FZD7/AP2B1/ARHGEF19/TIAM1/CDC42/PSMA6/PSMA7/VANGL1/PSMA4/PSMA5/PSMA2/PSMA3/SAPCD2/PSME4/PSMA1/PSME2/PSME3/DAAM1/PSME1/UBA52/DVL1P1/AP2A2/ARRB2/PRICKLE1/PRICKLE2/AP2A1/PSMA8/PSMB7/PSMB8/PSMB5/PSMB6/UBC/PSMB3/PSMB4/UBB/PSMB1/PSMB2/PSMF1/RAC1/AP2M1,RHOA/PSMD8/AP2A2/UBC/AP2M1,NA,5,5/374,0.0274840216332942,1
cellular protein metabolic process (GO:0044267),CHGB/RPL22/RPL21/RPL24/RPL23/SERPIND1/EVA1A/ADPRH/YME1L1/RPL26/SPARCL1/RPL28/RPL27/RPL29/RPL11/RPL10/RPL13/RPL12/ARAF/RPS4Y2/DLL1/RNF5/RPS4Y1/DLL4/PCMT1/PPP4R2/AKT1/RPL15/AKT2/RPL14/ST3GAL6/RPL17/RPL19/ST3GAL1/NCSTN/RPL18/APOL1/SNCA/ATG3/ABCA3/JAG1/ICMT/JAG2/NAPSA/RPL41/PHKA2/PGA4/PGA3/BACE1/RPL3L/PGA5/MRPL10/HSPG2/PADI4/LGMN/FARSB/RPL5/RPL6/RPL31/RPL3/RPL4/RPL30/RPL32/RPL35/RPL34/DMP1/MRPL18/GATA6/PRKDC/RPL9/MRPL13/RPL7/MRPL11/RPL8/C3/RPL37/RPL36/RPL39/LTA4H/RPL38/ATG7/LIPT1/USP9X/RIPK3/MCRS1/H3F3A/FUCA2/MRPL28/FN1/MRPL27/CP/MRPL24/LYZ/MRPL23/MRPL32/MMP15/AGO2/HRC/PIGH/GAS6/SERPINA1/RPN1/SERPINA10/RPN2/MRPL37/MRPL35/MRPL36/MRPL34/MRPL42/MRPL43/MRPL41/TIMP1/RIPK1/RPS15A/RPS27A/CDKL3/ODAM/AHSG/GATB/KTN1/WWP2/ADAM10/F2/GNMT/F5/DAB2IP/F7/MRPL51/F9/ADAM17/MRPL52/NUCB1/MSRB3/NOTUM/L2HGDH/MSRB1/MSRB2/APCS/SFTA3/ERO1B/ERO1A/SERPINC1/RPLP0/RPLP2/RPLP1/AFP/FSTL1/FSTL3/PRSS23/MRPL55/PHEX/UBL5/SNCAIP/BGLAP/GSN/RPS8/USP6/RPS9/F10/RPS6/RPS7/SARS/GOLM1/FBXO11/RPSA/FBXW2/COPS5/PLOD1/IAPP/RPL13AP3/NHP2/CHRM3/CHRM1/IGFALS/CSF1/UBE2D3/PROS1/TNC/UBE2D2/PLOD2/HSP90B1/GGA1/GGA3/GGA2/CDH2/HARS/RPS5/RPS2/SPP1/RPS3/IGFBP2/IGFBP1/WFS1/IGFBP6/TMEM132A/IGFBP5/IGFBP4/IGFBP3/GGCX/EIF4G1/RSL24D1/NOTCH4/ASMT/FBXO22/ABL2/EIF4EBP2/ABL1/IGFBP7/MEN1/COA1/DHPS/MEPE/RPL13A/APOA2/AMBN/APOA5/APOA4/RABGGTB/DNAJC3/ADORA2B/RPL37A/ALB/CPE/APOA1/ADORA2A/TARS/SNU13/BMP15/CYR61/KNG1/DUSP12/APH1B/APH1A/RABGGTA/DENND3/RPL36A/D2HGDH/CCDC59/RPL35A/RPL23A/SORL1/RAB12/CDC34/MGAT4A/P4HB/SFTPA1/SFTPA2/UBA52/EEF1A1P5/CSNK1G3/SEC11A/MSLN/FURIN/RPL10L/PLG/RPL10A/TTR/IGF2BP3/SEC11C/SEC11B/RPL7A/SLC35A1/FBXO2/MRPS18C/MRPS18B/MRPS18A/WDYHV1/AFG3L2/HIST1H4A/MXRA8/APP/HM13/ITIH2/UBE2L6/UBE2L3/C4A/SEPHS1/CHEK2/TGOLN2/MAGEA2/B2M/YES1/SIAH1/ST8SIA2/SLC34A2/ST8SIA4/SIAH2/SLC34A1/PAPPA/IGF1/IGF2/RPL39L/RPS27/MSRA/RPS26/RPS29/RPS28/BPIFB2/RPL27A/FBXL2/SDC2/RPS21/RPS20/RPS23/ITM2B/RPS25/RPS24/BAP1/TXN/MRPL1/NAGPA/GSPT2/GSPT1/RPS16/MRPL4/RPS15/MRPL3/HIST1H3A/PELO/RPS18/RPS17/IMMP2L/MRPL9/LGALS1/RPS19/APOE/RPS10/MAGEC2/RPS11/RPS14/RPS13/APOB/SFTPB/PSENEN/SFTPC/WARS/HARS2/SFTPD/UBL4A/MRPS2/UBE2G2/UBE2G1/MRPS7/MRPS6/MRPS5/TF/IMMP1L/MRPS9/ENAM/VWA1/FAM20C/PABPC4/CALU/MRRF/MRPS16/MRPS17/MRPS14/MRPS15/MRPS12/HBS1L/OMA1/PRL/MRPS11/STC2/IGHMBP2/PCSK9/NEDD8/KLK3/PCSK5/PENK/STK38/QSOX1/CTSH/CTSG/LMCD1/AMELX/PARP4/MRPS24/MRPS21/QPCT/ANO8/RSL1D1/HIST2H3A/SPCS3/SPCS2/SPCS1/SEMG1/SAA1/PNPLA2/MRPS36/MRPS33/MIA3/ZDHHC2/SPPL3/CST3/SERP1/RPL18A/DMBT1/LCMT1/UBE2I/APLP2/SHISA5/EEF1A2/EEF1A1/UBE2S/TGFBI/MELTF/SCG2/SCG3/UBE2M/UBE2N/PRKN/RRBP1/YARS2/GALNT11/LOXL2/RPL39P5/GPC3/FGF23/ABCF1/MANBA/PDIA6/CKAP4/PROC/NAT8/LOX/UBA3/MFGE8/FBN1/MATN3/CALCA/SPPL2C/SPPL2B/HTRA2/SPPL2A/CHRDL1/PSEN1/PSEN2/PLAT/LTBP1/CSF2RA/CSF2RB/TTF1/TGM1/UBC/UBB/NPPA/TGM5/TGM3/USP25/DARS/NAT8B/MMP1/MMP2/LAMB2/TNIP1/RPS3A/LAMB1/ADA2/VCAN/BMP4/IL6/RCN1/MAN2B1/PAPPA2/STOML2/UBA7/LAMC1/PROZ/CALB1/TMEM208/FGA/MBTPS1/FGG/SGPP2/RPS6KB2/VGF/AMTN/LTF/B4GALT7/PRKCSH/INS/CLN5/RPS4X,AKT1/PRKDC/RPL36/RIPK1/ERO1B/PLOD2/WFS1/GGCX/SIAH1/LGALS1/MRPS2/MRPS5/PABPC4/STC2/LOX/MFGE8/FBN1/PLAT/UBC/STOML2,NA,20,20/374,0.0143407457619741,1
cell junction maintenance (GO:0034331),CSF1R/CD177/PARD6A/NLGN2/F2R/F2RL1/PRTN3/INAVA,F2RL1,NA,1,1/374,0.0167747462928842,1
protein palmitoylation (GO:0018345),ZDHHC14/ZDHHC11/ZDHHC12/ZDHHC17/ZDHHC11B/ZDHHC18/ZDHHC15/ZDHHC16/CLIP3/ABHD17C/ABHD17B/ABHD17A/ZDHHC1/ZDHHC20/ZDHHC21/ZDHHC24/ZDHHC6/ZDHHC7/ZDHHC22/ZDHHC8/ZDHHC9/ZDHHC23/ZDHHC2/ZDHHC3/SELENOK/ZDHHC4/ZDHHC5/GOLGA7B/ZDHHC19/GOLGA7,ZDHHC5/GOLGA7,NA,2,2/374,0.0413720776541887,1
post-translational protein modification (GO:0043687),CHGB/WSB1/WSB2/ESCO2/ESCO1/FBXO2/SERPIND1/EVA1A/PSMB9/PSMC6/PSMC4/PSMC5/ASB9/PSMC2/NEURL2/PSMC3/ASB7/PSMC1/ASB8/SPARCL1/ASB5/ASB6/MXRA8/OBSL1/ASB3/ASB4/ASB1/ASB2/APP/EPAS1/KEAP1/CCNF/RNF7/DCAF6/ITIH2/DCAF5/DCAF8/PSMB11/C4A/PSMB10/DCAF7/PSMD9/FBXL21/STS/FBXL22/PSMD7/DCAF4/PSMD8/FBXL20/PSMD5/PSMD6/PSMD3/PSMD4/TGOLN2/PSMD1/PSMD2/BTRC/APOL1/ARSA/ARSB/ICMT/COMMD1/FN3KRP/UCHL3/PTP4A2/BPIFB2/PSME4/PSME2/PSME3/SDC2/FBXL4/FBXL3/PSME1/FBXL5/FBXL8/FBXL7/LRR1/DMP1/DCUN1D3/COPS7B/DCUN1D1/COPS7A/HIF1A/C3/NUB1/LGALS1/ARSK/ARSI/ARSJ/ARSG/PSMF1/APOE/ARSH/ARSE/ARSF/ATG5/SKP1/APOB/SKP2/ARSD/FUCA2/KLHL2/FN1/KLHL3/KLHL5/CP/SUMF1/SUMF2/TF/KBTBD6/KBTBD7/ENAM/KLHL9/CCDC8/VWA1/FAM20C/CALU/HRC/KBTBD8/GAS6/SERPINA1/CHM/SERPINA10/STC2/PCSK9/HIF3A/NEDD8/SOCS3/DDA1/ANKRD9/SOCS2/PENK/QSOX1/TIMP1/AMELX/UBXN7/SOCS5/SOCS6/AHSG/KTN1/ADAM10/ANO8/RAB11A/F5/RAB11B/DDB2/SPSB4/PSMA6/PSMA7/SPSB3/DDB1/SPSB2/GAN/PSMA4/PSMA5/SPSB1/RFWD2/PSMA2/PSMA3/PSMA1/NUCB1/NOTUM/PNPLA2/SERPINC1/DSCC1/MIA3/AFP/FSTL1/FSTL3/PRSS23/PSMA8/PSMB7/CST3/PSMB8/PSMB5/PSMB6/PSMB3/PSMB4/PSMB1/PSMB2/RAB8A/ELOB/ELOC/CHML/FBXW5/FBXW4/FBXW7/RAB2A/FBXW9/FBXW11/FBXW12/FBXW8/FBXO17/FBXW10/UBE2F/ZBTB16/APLP2/BTBD6/KLHL22/FBXO15/SHISA5/GOLM1/KLHL25/LMO7/FBXO11/KLHL20/RBX1/FBXW2/FBXO10/KLHL21/COPS5/COPS4/COPS6/RAB38/COPS3/COPS2/MELTF/SCG2/COPS8/SCG3/UBE2M/RAB1A/RAB1B/CSF1/GPS1/ASB14/TNC/ASB15/ASB12/ASB13/ASB18/HSP90B1/ASB16/ASB17/RBBP5/ASB10/ASB11/CDH2/GPC3/RBBP7/SPP1/WDTC1/FGF23/IGFBP1/WFS1/TMEM132A/CISH/IGFBP5/IGFBP4/IGFBP3/LRRC41/FBXO31/PDIA6/CKAP4/FBXO32/PROC/FBXO30/STT3B/UBA3/STT3A/CCDC22/RAB5A/MFGE8/FBN1/MATN3/CUL9/RAB3A/CUL7/CUL5/CUL3/KLHL11/CUL2/CUL1/FBXO27/KLHL13/CHRDL1/FBXO22/LTBP1/FBXO21/BTBD1/UBD/IGFBP7/MEN1/FN3K/RHBDD1/MEPE/APOA2/AMBN/APOA5/LAMB2/LAMB1/RABGGTB/CUL4B/CUL4A/VCAN/BMP4/DNAJC3/IL6/RCN1/ALB/APOA1/PSMD11/PSMD10/PSMD13/PSMD12/PSMD14/LAMC1/FBXO44/BMP15/CYR61/KNG1/FBXO40/KBTBD13/FBXO41/RABGGTA/NAE1/FGA/MBTPS1/FGG/FEM1B/FEM1C/FEM1A/FBXL18/FBXL19/FBXL16/FBXL14/KCTD6/FBXL15/KLHL41/SGPP2/KCTD7/FBXL12/KLHL42/FBXL13/MGAT4A/VGF/RAB13/P4HB/ERCC8/DTL/AMTN/MSLN/PRKCSH/WDR5/TULP4/DCAF16/DCAF17/SENP8/CAND1/VHL/FBXO4/DCAF10/FBXO7/FBXO6/DCAF11/FBXO9/DCAF13,DCAF7/PSMD8/LGALS1/STC2/RAB8A/ELOB/ELOC/RAB2A/RBX1/RAB1A/WFS1/MFGE8/FBN1/CUL2/FBXL12,NA,15,15/374,0.0232681174506123,1
regulation of phosphorylation (GO:0042325),EGF/UQCC2/NUP214/NUP210/BTBD10/ATG14/EREG/PML/GCK/NUP93/PINK1/NUP98/PLXNB2/SLC25A33/PHIP/ROPN1/APP/NUP205/ANKLE2/NUP160/EGFR/SRPX2/NUP85/NUP88/DSCAM/RAE1/GCKR/GLMN/NCKAP1L/FZD7/MIF/INHBA/NUP153/NUP155/SDCBP/PTK2/CCDC88C/CCDC88A/EIF6/RAD17/POM121/BCL10/PSEN1/CORO1C/AAAS/TPR/POM121C/SESN2/NUP62/BARD1/LYN/KDM4D/ECD/PTGES3/NDC1/FN1/EMP2/NUP133/SIRT1/SIRT2/BMP7/IL4/BMP4/NUP50/FER/NUP54/NDUFS4/NUP58/OGT/ITGA6/MCM7/CD24/SEH1L/ILK/PRKRIP1/NLRC5/HSPB1/SOCS1/NUP43/STAP1/FNIP2/FNIP1/RANBP2/CDKN2C/DYNLL1/CDKN2D/CDKN2A/CDKN2B/STAT2/PGAM1/PPP2CA/NUP35/ANG/NOP53/NUPL2/NUP37/INHA/NRP1/CDKN1B/NUP107/CDKN1C/IFNA2/LDB2/CDKN1A/LDB1/AKR1B1/ROPN1B/PRKAG2/THBS1/NUP188/PRKAG1/FLCN/IKBKB/GRM5/CCL5/KCTD20/ROPN1L/RICTOR/ATP7A,NUP214/NUP210/NUP98/NUP88/RAE1/NUP62/NUP54/NUP58/MCM7,NA,9,9/374,0.00101827334980566,1
positive regulation of glycoprotein biosynthetic process (GO:0010560),CHORDC1/CCL21/SOAT1/GOLGA2/IGF1/CCR7/SLC51B/RAMP1/CCL19/ALG10B/PLCB1,GOLGA2,NA,1,1/374,0.0313121388414287,1
respiratory chain complex III assembly (GO:0017062),UQCRB/UQCC3/LYRM7/UQCC2/UQCC1/UQCR10/SLC25A33/TTC19/BCS1L,BCS1L,NA,1,1/374,0.0212031977277593,1
negative regulation of reactive oxygen species metabolic process (GO:2000378),HDAC6/PRKN/MMP3/SIRT5/PARK7/MT3/BRCA1/INS/SLC30A10/SIRT2/AATF/PAX2/PINK1/HSP90B2P/PLIN5/SLC18A2/TFAP2A,SIRT5/AATF,NA,2,2/374,0.00885645339334429,1
regulation of chemokine secretion (GO:0090196),CSF1R/IL33/PYCARD/C5/CHIA/LPL/F2RL1/ALOX15B,F2RL1,NA,1,1/374,0.0167747462928842,1
neuron apoptotic process (GO:0051402),NGFR/APP/SIAH1/LIG4/SDIM1/ATN1/CIT/TNFRSF21/CDK5/ERBB3/BCL2/BNIP3/NAE1/NLRP1/BID/GAPDH,SIAH1/CIT,NA,2,2/374,0.00743390579863363,1
heme catabolic process (GO:0042167),UGT1A1/AMBP/HMOX1/HMOX2/UGT1A4/BLVRB/BLVRA,HMOX1,NA,1,1/374,0.0127977214204242,1
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243),DDIAS/NME5/MMP9/SIRT1/SFRP2/CXCL12/PINK1/SELENOS/HSPA1A/BCL2/NDUFS3/PPIF/ARHGEF2/TMBIM6/NFE2L2/TMEM161A/PRKN/EPO/DDX3X/NOL3/URI1/BCL2A1/LRRK2/PARK7/CLU/HSPB1/CCAR2/CREB3L1/BCL2L10/AKT1/MAGEA3/MCL1/CDKN2D/XBP1/SYVN1/PLAUR/SOD2/CREB3/DNAJA1/VNN1/BCL2L1/SNAI2/HYOU1/ACKR3/SNAI1/TRIM32/MDM2/BCL2L2/TPT1/SRC/NDUFA13/HTRA2/TXNDC12/PTTG1IP/ENO1/YBX3/NOC2L/INS/HERPUD1/BAG5/OPA1/MAPK7,SELENOS/AKT1/HYOU1/BAG5,NA,4,4/374,0.0216897334662906,1
regulation of smooth muscle cell proliferation (GO:0048660),EDN1/PDGFRB/TCF7L2/STAT1/XRCC5/PTGIR/IGFBP5/XRCC6/SERPINF2/IGFBP3/IGF1/IL18/EREG/NR4A3/FOXP1/BMP4/IL6/OGN/IFNG/ID2/CDH13/PPARG/ANG/NOX1/TRIB1/NDRG4/CTNNB1/TNFAIP3/PDGFB/THBS1/PRKDC/TNF/AIF1/CCL5/MFN2/AKT1/HMOX1/IL12B/IL12A/IL6R/APOD/HES5/RBPMS2/ELANE,PRKDC/AKT1/HMOX1,NA,3,3/374,0.0263167905582458,1
G1 DNA damage checkpoint (GO:0044783),TP73/CCND1/RFWD3/RPA2/CDK2/WAC/RPS27L/FBXO31/TP53/TP63,CDK2,NA,1,1/374,0.026057258962688,1
GPI anchor biosynthetic process (GO:0006506),PLAUR/DPM1/DPM2/PIGC/DPM3/PIGF/PIGB/PIGA/PIGL/PIGK/PIGN/MPPE1/PIGM/PIGH/PIGG/PIGT/PIGS/PGAP1/PIGV/PIGU/PGAP2/PGAP3/PIGP/PIGO/PIGQ/CWH43/GPAA1/PIGX/PIGW/PIGZ/PYURF/PIGY,PIGS/PIGO/GPAA1,NA,3,3/374,0.0088647325325946,1
fatty-acyl-CoA biosynthetic process (GO:0046949),ELOVL1/ELOVL2/ACSL3/ELOVL5/ELOVL6/ACSL1/ELOVL3/SCD5/ACSL6/ELOVL7/ACSL5/ACSL4/ACSF3/ACLY/SCD/FASN/TECR/PPT2/PPT1/ACSBG2/ACSBG1/SLC25A1/HACD2/HACD1/ACAT1/HSD17B12/HSD17B8/ACACA/HTD2/CBR4,ACSL3/PPT1,NA,2,2/374,0.0413720776541887,1
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211),CNOT7/BTG2/ZFP36/CNOT1/AGO2/POLR2G/PABPC1/CPEB3/TOB1/TNRC6B/TNRC6C,PABPC1,NA,1,1/374,0.0313121388414287,1
kinetochore assembly (GO:0051382),CENPE/CENPF/CENPW/POGZ/MIS12/CENPA/CENPC/CENPT,CENPF,NA,1,1/374,0.0167747462928842,1
negative regulation of hippo signaling (GO:0035331),WWC1/DLG5/WWC2/WWC3/WTIP/AJUBA/LIMD1/MARK3,MARK3,NA,1,1/374,0.0167747462928842,1
regulation of glucose metabolic process (GO:0010906),ADIPOQ/GPLD1/GCGR/SIRT1/PASK/SDHAF3/SELENOS/DGKQ/SIK3/FBP1/PRKN/SLC45A3/IRS1/IRS2/RORC/ADIPOR1/RORA/AKT1/PDK4/AKT2/MLYCD/PMAIP1/PDK1/PDK3/PDK2,SELENOS/AKT1,NA,2,2/374,0.0257433234660879,1
endosomal vesicle fusion (GO:0034058),SAMD9/VPS4A/VPS41/TGFBRAP1/ANKFY1/VPS8/VPS11/RBSN/SAMD9L/VPS39,VPS11/VPS39,NA,2,2/374,0.00178695278804473,1
toll-like receptor 9 signaling pathway (GO:0034162),UNC93B1/PIK3R4/IRAK4/MYD88/TNIP2/IRAK2/TRAF6/IRAK1/TLR9/TLR8/TLR7/PIK3C3/PIK3AP1,TRAF6,NA,1,1/374,0.0429301060251057,1
cellular response to oxygen levels (GO:0071453),ATP6V1G1/ATP6V1A/ATP6V0D1/ATP6AP1/CCDC115/PICK1/CPEB4/ATP6V0A2/TMEM199,ATP6V1A/ATP6AP1,NA,2,2/374,0.00127516627082133,1
mitotic cell cycle phase transition (GO:0044772),ACVR1/PPP2R1A/CCP110/CDK14/OPTN/RB1/SSNA1/CCNH/AKAP9/RGPD4/CDC23/CSNK1D/CDC27/CHEK2/MYC/BTRC/PLK4/PLK1/PLK3/PLK2/CSNK1E/MASTL/TUBG1/LATS2/LATS1/CCNY/SPDYA/CEP63/FBXL7/ARPP19/EPS8/GSPT1/CEP70/PRKAR2B/CDK5RAP2/RCC1/CEP72/CEP76/CEP192/CEP78/SKP1/PRKACA/CDT1/TUBB/OFD1/CDC7/CDC6/CENPJ/PAFAH1B1/CEP41/SFI1/SDCCAG8/CDKN3/CRLF3/CETN2/ACTR1A/CNTRL/RPS27A/DYNC1I2/CEP57/RANBP3/RANBP2/CDKN2C/DYNLL1/CDKN2D/CDKN2A/CDKN2B/NDE1/MBD1/RANBP1/RPA2/RPA3/RPA1/TUBB4B/TUBB4A/NEDD1/CCNE2/CCNE1/RPA4/NEK11/TACC3/CACUL1/DYNC1H1/PLCB1/MAPRE1/KDM8/CDKN1B/CTDP1/CDKN1A/PRIM2/PRIM1/ALMS1/PHF8/TUBA1A/RANBP3L/ENSA/RAB8A/NINL/LCMT1/PHLDA1/UBE2C/FBXW11/CDC25A/CDC25B/HINFP/TUBA4A/PPP1CB/CDC25C/MELK/UBE2S/POLE2/POLE3/POLE4/CHMP4B/AJUBA/AURKA/PPME1/CCND1/CEP250/CLASP1/PCNT/CLASP2/ODF2/BORA/INHBA/NASP/CKAP5/CCNA2/TFDP3/CHMP2A/CHMP7/BCAT1/MNAT1/BRSK2/MAX/CUL5/CUL3/EIF4EBP1/TRIM71/CUL2/CUL1/PKMYT1/FOXM1/CCNB2/CCNB1/UBC/UBB/PIM2/NEK2/USP26/PPP1R12A/PPP1R12B/HSP90AA1/USP29/DNM2/CUL4B/POLA1/CUL4A/POLA2/CDK7/CDK6/CDK4/CDK3/CDK2/MCM4/FGFR1OP/MCM5/CDK1/NES/MCM6/MCM7/MCM2/MCM3/KHDRBS1/USP37/YWHAG/ABCB1/YWHAE/CEP164/MCM10/PPP6C/ORC6/ORC5/SPAST/ORC2/ORC1/ORC4/ORC3/EIF4E/CEP290/CEP135/CEP131/HAUS5/HAUS4/HAUS7/HAUS6/HAUS1/FBXL15/HAUS3/HAUS2/TPD52L1/WEE1/CDC34/DBF4/PPP2R2D/RPS6KB1/UBA52/ANAPC1/TAF2/MCM8/DCTN3/DCTN2/CAMK2A/DCTN1/PPP2R2A/ACVR1B/USH1C/POLE/CDC45/HAUS8/CEP152,AKAP9/PRKAR2B/CDK5RAP2/PRKACA/CNTRL/PRIM2/PRIM1/RAB8A/NINL/AURKA/CEP250/PCNT/CHMP2A/CUL2/UBC/POLA1/POLA2/CDK2/CDK1/MCM7/MCM2/CEP135,NA,22,22/374,1.39245604950783e-08,7.10570322063844e-05
response to type I interferon (GO:0034340),MX1/SP100/SHMT2/ISG15/SETD2/IFIT1/TRIM56,ISG15,NA,1,1/374,0.0127977214204242,1
hydrogen peroxide catabolic process (GO:0042744),GPX1/GPX3/HBB/HBA1/PXDNL/MPO/APOA4/PRDX3/PRDX6/PRDX5/CAT/PXDN/PRDX2/PRDX1,GPX1,NA,1,1/374,0.049248425143498,1
cellular response to epinephrine stimulus (GO:0071872),RYR2/KCNQ1/ATP2B4/PDE4B/SIRT2/SLC9A1/SNCA/PRKACA,PRKACA,NA,1,1/374,0.0167747462928842,1
negative regulation of centriole replication (GO:0046600),KAT2B/KAT2A/CDK5RAP2/TRIM37/CHMP2A/BRCA1/RBM14/MDM1,CDK5RAP2/CHMP2A,NA,2,2/374,0.000866646803044136,1
histone H4 deacetylation (GO:0070933),HDAC4/HDAC1/REST/HDAC2/SMARCAD1/HDAC9/SIRT2/RCOR1,HDAC2,NA,1,1/374,0.0167747462928842,1
negative regulation of ubiquitin protein ligase activity (GO:1904667),UBE2C/RPL23/RPS7/PSMB9/CDC20/PSMC6/PSMC4/PSMC5/BUB1B/PSMC2/CDC16/PSMC3/CDK2/CDK1/PSMC1/MAD2L1/MAD2L2/PSMD11/PSMD10/PSMD13/PSMD12/RPL11/PSMD14/UBE2D1/PSMB10/FBXO43/PSMD9/PSMD7/CDC23/FZR1/PSMD8/PSMD5/CDC26/PSMD6/PSMD3/CDC27/PSMD4/PSMD1/PSMD2/RPS27A/USP44/UBE2E1/PSMA6/PSMA7/PSMA4/PSMA5/PSMA2/PSMA3/PSMA1/ANAPC4/PSME2/ANAPC5/PSME3/ANAPC7/PSME1/UBA52/ANAPC1/ANAPC2/RPL5/ANAPC15/ANAPC16/ANAPC10/ANAPC11/PSMB7/PSMB8/PSMB5/PSMB6/CCNB1/UBC/PSMB3/PSMB4/UBB/PSMB1/PSMB2/FBXO5/PSMF1/BUB3,CDK2/CDK1/PSMD8/UBC,NA,4,4/374,0.0486658761861244,1
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175),PDIA2/NOL3/HTRA2/NME5/SIRT1/INS/HSPB1/SOD1/SOD2/VNN1/BAG5/SFPQ/AKT1/P4HB/UBQLN1/PDILT/MAPK7/NFE2L2,BAG5/AKT1,NA,2,2/374,0.0104273578547051,1
response to prostaglandin E (GO:0034695),PTGER2/CCL21/PTGER4/SFRP1/TGFBR3/ADCY6/GNG2/GNB1/TNFSF4/CCR7/CCL19/PTGDR,GNB1,NA,1,1/374,0.0369440363050621,1
positive regulation of ruffle assembly (GO:1900029),CARMIL2/FAM98A/NLGN1/DEF8/EPS8/EPS8L1/NDEL1/EPS8L2/EPS8L3/HRAS/PLEKHM1/PFN1,FAM98A,NA,1,1/374,0.0369440363050621,1
tRNA transport (GO:0051031),SSB/RANBP2/NUP214/NDC1/TOMM20L/NUP153/NUP210/NUP133/NUP155/NUP93/NUP50/NUP98/NUP54/XPOT/NUP35/NUP58/NUPL2/NUP37/RAN/POM121/NUP205/NUP107/SEH1L/NUP188/TOMM20/NUP160/NOL6/AAAS/TPR/NUP43/POM121C/NUP85/NUP62/NUP88/RAE1,NUP214/NUP210/NUP98/NUP54/NUP58/NUP62/NUP88/RAE1,NA,8,8/374,1.79685884380657e-07,0.000916937067994493
